,cluster
798,0
799,1
800,7
801,2
802,1
803,1
804,0
805,2
806,1
807,4
808,2
809,0
810,1
811,4
812,2
813,2
814,5
815,2
816,2
817,0
818,0
819,1
820,0
821,4
822,2
823,1
824,1
825,2
826,1
827,1
828,1
829,1
830,2
831,5
832,1
833,2
834,0
835,5
836,0
837,1
838,2
839,2
840,0
841,2
842,0
843,1
844,1
845,0
846,1
847,2
848,2
849,1
850,1
851,2
852,1
853,6
854,0
855,1
856,2
857,1
858,1
859,0
860,1
861,2
862,1
863,1
864,0
865,1
866,1
867,6
868,7
869,1
870,1
871,8
872,1
873,2
874,2
875,1
876,2
877,6
878,0
879,1
880,2
881,1
882,2
883,1
884,2
885,6
886,1
887,0
888,1
889,1
890,2
891,5
892,2
893,0
894,2
895,1
896,4
897,7
898,1
899,0
900,1
901,2
902,0
903,5
904,3
905,0
906,0
907,1
908,0
909,4
910,2
911,1
912,0
913,4
914,2
915,2
916,0
917,5
918,2
919,2
920,1
921,1
922,4
923,0
924,0
925,2
926,1
927,1
928,8
929,1
930,1
931,1
932,1
933,4
934,1
935,1
936,0
937,0
938,0
939,2
940,1
941,2
942,8
943,4
944,4
945,8
946,2
947,2
948,4
949,2
950,2
951,8
952,1
953,0
954,1
955,1
956,2
957,4
958,0
959,1
960,5
961,1
962,5
963,7
964,7
965,0
966,1
967,2
968,1
969,2
970,0
971,1
972,1
973,5
974,1
975,1
976,2
977,2
978,1
979,0
980,8
981,2
982,4
983,2
984,0
985,0
986,1
987,2
988,4
989,1
990,1
991,1
992,1
993,0
994,2
995,2
996,1
997,0
998,1
999,1
1000,1
1001,1
1002,2
1003,1
1004,2
1005,1
1006,3
1007,1
1008,0
1009,1
1010,2
1011,5
1012,0
1013,0
1014,4
1015,1
1016,1
1017,1
1018,1
1019,1
1020,0
1021,1
1022,1
1023,2
1024,0
1025,1
1026,1
1027,7
1028,1
1029,2
1030,2
1031,1
1032,1
1033,1
1034,6
1035,0
1036,0
1037,1
1038,8
1039,2
1040,2
1041,2
1042,0
1043,5
1044,2
1045,2
1046,2
1047,0
1048,0
1049,3
1050,0
1051,5
1052,0
1053,0
1054,4
1055,1
1056,0
1057,1
1058,1
1059,2
1060,1
1061,1
1062,0
1063,7
1064,2
1065,0
1066,2
1067,1
1068,1
1069,2
1070,2
1071,2
1072,2
1073,1
1074,0
1075,1
1076,1
1077,5
1078,6
1079,4
1080,1
1081,2
1082,1
1083,7
1084,2
1085,2
1086,1
1087,1
1088,2
1089,0
1090,2
1091,2
1092,1
1093,2
1094,2
1095,1
1096,0
1097,5
1098,0
1099,1
1100,1
1101,0
1102,0
1103,0
1104,1
1105,0
1106,1
1107,0
1108,1
1109,1
1110,1
1111,4
1112,1
1113,1
1114,2
1115,8
1116,5
1117,1
1118,1
1119,0
1120,1
1121,2
1122,1
1123,1
1124,2
1125,0
1126,0
1127,6
1128,0
1129,0
1130,7
1131,2
1132,1
1133,2
1134,5
1135,7
1136,2
1137,2
1138,2
1139,2
1140,0
1141,1
1142,2
1143,4
1144,2
1145,1
1146,1
1147,7
1148,1
1149,4
1150,3
1151,1
1152,1
1153,4
1154,2
1155,2
1156,7
1157,1
1158,2
1159,0
1160,0
1161,0
1162,2
1163,7
1164,1
1165,4
1166,1
1167,0
1168,1
1169,0
1170,2
1171,4
1172,1
1173,2
1174,1
1175,2
1176,1
1177,0
1178,2
1179,1
1180,2
1181,2
1182,2
1183,1
1184,7
1185,1
1186,0
1187,6
1188,5
1189,0
1190,0
1191,1
1192,0
1193,1
1194,3
1195,0
1196,1
1197,2
1198,1
1199,2
1200,4
1201,6
1202,2
1203,1
1204,0
1205,0
1206,1
1207,2
1208,8
1209,7
1210,7
1211,2
1212,2
1213,4
1214,7
1215,0
1216,1
1217,5
1218,1
1219,1
1220,0
1221,7
1222,2
1223,0
1224,5
1225,2
1226,5
1227,1
1228,2
1229,1
1230,2
1231,2
1232,0
1233,2
1234,6
1235,0
1236,4
1237,5
1238,2
1239,4
1240,8
1241,7
1242,1
1243,1
1244,2
1245,1
1246,1
1247,2
1248,2
1249,0
1250,7
1251,1
1252,1
1253,2
1254,0
1255,2
1256,2
1257,2
1258,6
1259,2
1260,8
1261,1
1262,0
1263,0
1264,1
1265,1
1266,2
1267,1
1268,1
1269,0
1270,0
1271,6
1272,3
1273,1
1274,1
1275,0
1276,1
1277,2
1278,1
1279,0
1280,1
1281,0
1282,2
1283,4
1284,2
1285,1
1286,2
1287,0
1288,4
1289,0
1290,0
1291,7
1292,1
1293,2
1294,0
1295,2
1296,2
1297,1
1298,1
1299,2
1300,1
1301,1
1302,1
1303,0
1304,1
1305,5
1306,2
1307,6
1308,0
1309,0
1310,5
1311,0
1312,0
1313,0
1314,8
1315,2
1316,2
1317,4
1318,2
1319,6
1320,6
1321,5
1322,5
1323,0
1324,2
1325,1
1326,2
1327,2
1328,0
1329,1
1330,2
1331,0
1332,1
1333,2
1334,1
1335,7
1336,0
1337,0
1338,2
1339,1
1340,0
1341,1
1342,0
1343,3
1344,1
1345,1
1346,1
1347,6
1348,1
1349,4
1350,0
1351,1
1352,2
1353,0
1354,1
1355,2
1356,6
1357,0
1358,1
1359,4
1360,2
1361,1
1362,1
1363,0
1364,1
1365,3
1366,5
1367,2
1368,1
1369,0
1370,0
1371,1
1372,1
1373,0
1374,2
1375,1
1376,2
1377,8
1378,0
1379,4
1380,2
1381,2
1382,4
1383,2
1384,0
1385,5
1386,5
1387,2
1388,2
1389,1
1390,0
1391,2
